debate,speaker,text
biden_trump_2020,WELKER,Very quickly. 
biden_trump_2020,TRUMP,"I take full responsibility. It's not my fault that it came here. It's China's fault. You know what, it's not Joe's fault that it came here either. It's China's fault. They kept it from going into the rest of China, for the most part, but they didn't keep it from coming out to the world including Europe and ourselves. "
biden_trump_2020,WELKER,"Vice President Biden. as tracked is that when we knew was coming, when it hit. "
biden_trump_2020,BIDEN,"The fact is, when we knew it was coming, when it hit — What happened? What did the President say? He said don't worry, it's going to go away, it's going to be gone by Easter. Don't worry, the warm weather. Don't worry, maybe inject bleach — he said he was kidding when he said that, but a lot of people thought it was serious. A whole range of things the President said. And even today, he thinks we are in control. We're about to lose 200,000 more people "
biden_trump_2020,WELKER,President Trump. 
biden_trump_2020,TRUMP,"Look, perhaps just to finish this, I was kidding on that but just to finish this. When I closed, he said, I shouldn't have closed. And that went on for months. What Nancy Pelosi said the same thing. She was dancing on the streets in Chinatown in San Francisco. But when I closed, he said, this is a terrible thing. You're xenophobic. I think he called me racist, even, and because I was closing it to China. Now he says I should have closed it earlier. It just Joe, it doesn't — "
biden_trump_2020,BIDEN,I didn't say either of those things. 
biden_trump_2020,TRUMP,You certainly did. 
biden_trump_2020,BIDEN,I talked about his xenophobia in a different context. It wasn't about closing the border to Chinese coming to the United States. 
biden_trump_2020,WELKER,"All right, I want to talk about both of your different strategies to handling this. "
biden_trump_2020,TRUMP,He thought I shouldn't have closed the border. That's obvious. 
biden_trump_2020,WELKER,"Do you wanna respond to that quickly, vice president? "
biden_trump_2020,BIDEN,No. 
biden_trump_2020,WELKER,"OK, let's talk about your different strategies toward dealing with this. Mr. Vice President, you suggested you would support new shutdowns if scientists recommended it. What do you say to Americans who are fearful that the cost of shutdowns, the impact on the economy, the higher rates of hunger depression, domestic and substance abuse, outweighs the risk of exposure to the virus? "
biden_trump_2020,BIDEN,"What I would say is I'm going to shut down the virus, not the country. It's his ineptitude that caused the country to have to shut down in large part — why businesses have gone under, why schools are closed, why so many people have lost their living and why they're concerned. Those other concerns are real. That's why he should have been — instead of in a sand trap at his golf course — he should have been negotiating with Nancy Pelosi and the rest of the Democrats and Republicans about what to do about the acts they were passing for billions of dollars to make sure people had the capacity. "
biden_trump_2020,WELKER,You haven't ruled out more shutdowns 
biden_trump_2020,BIDEN,"Oh no, I'm not shutting down the nation but there are, look, they need standards. The standard is, if you have a reproduction rate in a community that's above a certain level, everybody says, slow up. More social distancing. Do not open bars and do not open gymnasiums. Do not open until you get this under control, under more control. But when you do open, give the people the capacity to be able to open and have the capacity to do it safely. For example schools — schools, they need a lot of money to open. They need to deal with ventilation systems, they need to deal with smaller classes, more teacher, more pods, and he's refused to support that money, or at least up to now "
biden_trump_2020,WELKER,Let's talk about schools. President Trump — 
biden_trump_2020,TRUMP,"Well, I think we have to respond, if I might. "
biden_trump_2020,WELKER,"Please, and then I have a follow up. "
biden_trump_2020,TRUMP,"Thank you, and I appreciate that. Look, all he does is talk about shutdowns but forget about him. His democrat governors — Cuomo in New York, you look at what's going on in California, you look at Pennsylvania, North Carolina, Democrats, Democrats all — they are shut down so tight, and they're dying. They're dying. And he supports all these people. All he talks about is shutdowns No, we're not going to shut down, and we have to open our schools. And it's like, as an example, I have a young son. He also tested positive. By the time I spoke to the doctor, the second time, he was fine, it just went away. Young people, I guess it's their immune system. "
biden_trump_2020,WELKER,"Let me follow up, President Trump. You've demanded schools open in person and insisted they can do it safely. But just yesterday, Boston became the latest city to move its public school system entirely online after a coronavirus spike. What is your message to parents who worry that sending their children to school will endanger not only their kids, but also their teachers and families? "
biden_trump_2020,TRUMP,"I want to open the schools. The transmittal rate to the teachers is very small, but I want to open the schools. We have to open our country. We're not going to have a country. You can't do this, we can't keep this country closed. It is a massive country with a massive economy. People are losing their jobs, they're committing suicide. There's depression, alcohol, drugs at a level that nobody's ever seen before. There's abuse, tremendous abuse. We have to open our country. You know I've said it often — the cure cannot be worse than the problem itself, and that's what's happening, and he wants to close down. He'll close down the country if one person in our, in our massive bureaucracy says we should close it down. "
biden_trump_2020,WELKER,"Vice President Biden, your — "
biden_trump_2020,BIDEN,"Simply not true. We're gonna be able to walk and chew gum at the same time. We ought to be able to safely open, but we need resources to open. You need to be able to, for example, if you're gonna open a business, have social distancing within the business. You need to have, if you have a restaurant, you need to have plexiglass dividers so people cannot infect one another. You need to be in a position where you can take testing rapidly and know whether a person is, in fact, infected. You need to be able to trace. You need to be able to provide all the resources that are needed to do this and that is not inconsistent with saying that we're going to make sure that we open safely. And by the way, all you teachers out there — not that many of you are going to die, so don't worry about it. Don't worry about it. Come on. "
biden_trump_2020,WELKER,"President Trump, let me follow up with you quickly. "
biden_trump_2020,TRUMP,"I will say this, if you go and look at what's happened to New York, ut's a ghost town. It's a ghost town. And when you talk about plexiglas — these are restaurants that are dying. These are businesses with no money. Putting the plexiglas is unbelievably expensive, and it's not the answer. I mean, you're going to sit there in a cubicle wrapped around with plastic? These are businesses that are dying, Joe, you can't do that to people, which again, take a look at New York and what's happened to my wonderful city. For so many years, I loved it. It was vibrant. It's dying. Everyone's leaving New York. "
biden_trump_2020,WELKER,Vice President. 
biden_trump_2020,BIDEN,"Take a look what New York has done in terms of turning the curve down, in terms of the number of people dying. And I don't look at this in terms of what he does, blue states and red states. They're all the United States. And look at the states that are having such a spike in the coronavirus. They're the red states. They are the states in the Midwest, they are the states in the upper Midwest, that's where the spike is occurring significantly, but they're all Americans. They're all Americans and what we have to do is say, wear these masks, number one, make sure we get the help that the businesses need. The money's already been passed to do that. It's been out there since the beginning of this summer and nothing's happened. "
biden_trump_2020,TRUMP,"New York has lost more than 40,000 people. 11,000 people in nursing. "
biden_trump_2020,WELKER,"President Trump, what about — "
biden_trump_2020,TRUMP,"When you say spike, take a look at what's happening in Pennsylvania, where they've had it closed. Take a look at what's happening with your friend in Michigan, where her husband's the only one allowed to do anything. It's been like a prison. Now it was just ruled unconstitutional. Take a look at North Carolina. They're having spikes and they've been closed, and they're getting killed financially. We can't let that happen, Joe, you can't let that happen. We have to open up and we understand that disease, we have to protect our seniors, we have to protect our elderly, we have to protect, especially, our seniors with heart problems and diabetes problems, and we will protect them. We have the best testing in the world by far. That's why we have so many cases. "
biden_trump_2020,WELKER,"Let me follow up with you before we move on to our next section. President Trump, this week you called Dr. Anthony Fauci, the nation's best known infectious disease expert, ""a disaster."" You described him and other medical experts as ""idiots."" If you're not listening to them, who are you listening to? "
biden_trump_2020,TRUMP,"I'm listening to all of them, including Anthony. I get along very well with Anthony. But he did say, 'don't wear masks.' He did say, as you know, 'this is not going to be a problem.' I think he's a Democrat, but that's okay. He said, 'this is not going to be a problem. We are not going to have a problem at all.' When Joe says that, I said — Anthony Fauci said and others and many others. And I'm not knocking him. Nobody knew. Look, nobody knew what this thing was, nobody knew where it was coming from, what it was. We've learned a lot, but Anthony said, 'don't wear masks.' Now he wants to wear masks. Anthony also said, if you look back, exact words, here's his exact words: : 'This is no problem, this is going to go away soon.' So he's allowed to make mistakes, he happens to be a good person. "
biden_trump_2020,WELKER,"Vice President Biden, your response, quickly and then we're going to move on to the next section. "
biden_trump_2020,BIDEN,"My response is think about what the President knew in January and didn't tell the American people. He was told this was a serious virus that spread in the air, and it was much worse than — much worse — than the flu. He went on record and said to one of your colleagues, recorded, that in fact he knew how dangerous it was but he didn't want to tell us, didn't want to tell us because he didn't want us to panic. He didn't want us — Americans don't panic. He panicked. Well, guess what, in the meantime, we find out in the New York Times the other day that in fact, his folks went to Wall Street and said, 'this is a really dangerous thing,' and a memo out of that meeting — not from his administration, but from some of the brokers — had said, 'sell short, because we gotta get moving. It's a dangerous problem.' "
biden_trump_2020,TRUMP,Well this is — 
biden_trump_2020,WELKER,I'm going to give you 30 seconds to respond and then we're gonna move on. 
biden_trump_2020,TRUMP,"I don't know if somebody went to Wall Street. You're the one that takes all the money from Wall Street. I don't take it. You have raised a lot of money, tremendous amounts of money. And every time you raise money, deals are made. I could raise so much more money. As president and as somebody that knows most of those people, I could call the heads of Wall Street, the heads of every company in America, I would blow away every record. But I don't want to do that because it puts me in a bad position. And then you bring up Wall Street? You shouldn't be bringing up Wall Street. Because you're the one that takes the money from Wall Street, not me. I could blow away your records like you wouldn't believe. We don't need money. We have plenty of money. In fact, we beat Hillary Clinton with a tiny fraction of the money that she was able to get. Don't tell me about wall street. "
biden_trump_2020,WELKER,"All right, gentlemen, we're gonna move on. "
biden_trump_2020,BIDEN,"Average contribution, $43. "
biden_trump_2020,WELKER,"All right, we're gonna move on to our next section which is national security. And I do want to start with the security of our elections and some breaking news from overnight. Just last night, top intelligence officials confirmed again that both Russia and Iran are working to influence this election. Both countries have obtained U.S. voter registration information, these officials say, and Iran sent intimidating messages to Florida voters. This question goes to you, Mr. Vice President, what would you do to put an end to this threat? You have two minutes, uninterrupted. "
biden_trump_2020,BIDEN,"I made it clear. And I asked everyone else to take the pledge. I made it clear that any country, no matter who it is, that interferes in American elections will pay a price. They will pay the price. It has been overwhelmingly clear in this election — I won't even get into the last one — this election, that Russia has been involved. China has been involved to some degree, and now we learned that, that Iran is involved. They will pay a price if I'm elected. Interfering with American sovereignty. That's what's going on right now. They're interfering with American sovereignty. And to the best of my knowledge, I don't think the President said anything to Putin about it. I don't think he's talking a lot. I don't think he said a word. I don't know why he hasn't said a word to Putin about it. And I don't know what he has recently said, if anything, to the Iranians. My guess is he'd probably be more outspoken with regard to the Iranians. But the point is this, folks. We are in a situation where we have foreign countries trying to interfere in the outcome of our election. His own national security advisor told him that what is happening with his buddy — well, I won't, I shouldn't — I will — his buddy Rudy Giuliani. He's being used as a Russian pawn. He's being fed information that is Russian, that is not true. And then what happens? Nothing happens. And then you find out that everything is going on here about Russia is wanting to make sure that I do not get elected the next President of the United States because they know I know them, and they know me. I don't understand why this President is unwilling to take on Putin when he's actually paying bounties to kill American soldiers in Afghanistan, when he's engaged in activities that are trying to destabilize all of NATO. I don't know why he doesn't do it but it's worth asking the question. Why isn't that being done? Any country that interferes with us will, in fact, pay a price because they're affecting our sovereignty. "
biden_trump_2020,WELKER,"President Trump, same question to you. Let me, let me ask the question. You're gonna have two minutes to respond for two elections in a row now there has been substantial interference from foreign adversaries. What would you do in your next term to put an end to this? Two minutes, uninterrupted. "
biden_trump_2020,TRUMP,"Well, let me respond to the first part, as Joe answered. Joe got three and a half million dollars from Russia. And it came through Putin, because he was very friendly with the former mayor of Moscow and it was the mayor of Moscow's wife. He got three and a half million dollars. Your family got three and a half million dollars and you know someday, you're gonna have to explain — why did you get three and a half? I never got any money from Russia. I don't get money from Russia. Now, about your thing last night, I knew all about that, and through John — who is John Radcliffe, who is a fantastic DNI — he said, the one thing that's common to both of them, they both want you to lose. Because there has been nobody tougher to Russia. Between the sanctions, nobody tougher than me on Russia. Between the sanctions between all of what I've done with NATO. You know, I've got the NATO countries to put up an extra 130 billion, going to $420 billion a year, that's to guard against Russia. I sold — while he was selling pillows and sheets — I sold tank busters to Ukraine. There has been nobody tougher on Russia than Donald Trump. And I'll tell you, they were so bad. They took over the, the submarine port. You remember that very well during your term, during you and Barack Obama. They took over a big part of what should have been Ukraine. You handed it to them. But you were getting a lot of money from Russia. They were paying you a lot of money and they probably still are, but now, with what came out today, it's even worse. All of the emails, the emails are horrible. The emails of the kind of money that you were raking in, you and your family. And Joe, you were vice president when some of this was happening. And it should have never happened. And I think you owe an explanation to the American people. Why is it, somebody just had a news conference a little while ago, who was essentially supposed to work with you and your family, but what he said was damning. And regardless of me, I think you have to clean it up and talk to the American people. Maybe you can do it right now. "
biden_trump_2020,WELKER,"Vice President Biden, you may respond to follow up on the election security. "
biden_trump_2020,BIDEN,"I have not taken a penny from any foreign source ever in my life. We learn that this President paid 50 times the tax in China, as a secret bank account with China, does business in China, and in fact, is talking about me taking money? I have not taken a single penny from any country whatsoever, ever, number one. Number two, this is a president — I have released all of my tax returns. 22 years. Go look at them. 22 years of my tax return. You have not released a single solitary year of your tax return. What are you hiding? Why are you unwilling? The foreign countries are paying you a lot. Russia is paying you a lot. China is paying a lot. And your hotels and all your businesses all around the country, all around the world. And China's building a new road to a new gas… a golf course you have overseas. So what's going on here? Why don't you release your tax return or stop talking about corruption? "
biden_trump_2020,WELKER,"President Trump, your response. "
biden_trump_2020,TRUMP,"First of all, I called my accounts — under audit. I'm going to release them as soon as we can. I want to do it, and it will show how successful, how great this company is. But much more importantly than that, people were saying $750. I asked them a week ago, I said, what did I pay? They said, sir, you pre-paid tens of millions of dollars. I prepaid my tax. Tens. Over the last number of years. Tens of millions of dollars, I prepaid, because at some point, they think, it's an estimate. They think I may have to pay tax. So, I already prepaid it. Nobody told me that. "
biden_trump_2020,WELKER,Did your accountant tell you — 
biden_trump_2020,TRUMP,"Excuse me. And it wasn't written whenever they write this. They keep talking about $750, which I think is a filing fee. But let me just tell you, I prepaid millions and millions of dollars in taxes, number one. Number two, I don't make money from China, you do. I don't make money from Ukraine, you do. I don't make money from Russia. You made three and a half million dollars, Joe, and your son gave you. They even have a statement that we have to give 10% to the big man. You're the big man, I think. I don't know, maybe you're not. But you're the big man, I think. You son said that we have to give 10% to the big man. Joe, what's that all about? It's terrible. "
biden_trump_2020,WELKER,"All right, gentlemen, I want to ask you both some questions about all of this. I'm gonna let you both respond, very quickly. You just said you spoke to your accountant about potentially releasing your taxes. Did he tell you when you can release them? Do you have a deadline for when you're going to release them to the American people? "
biden_trump_2020,TRUMP,"I get treated worse than the Tea Party got treated. A lot of people in there, deep down in the IRS, they treat me horribly. We made a deal, it was all settled, until I decided to run for president. I get treated very badly by the IRS, very unfairly, but we had a deal all done. As soon as we're completed with the deal, I want to release it. But I have paid millions and millions of dollars. And it's worse than paying. I paid in advance. It's called prepaying your taxes. I paid. "
biden_trump_2020,WELKER,I want to ask you both about questions regarding your potential foreign entanglements and questions that have been raised to give you both a chance to talk about this more broadly. 
biden_trump_2020,BIDEN,At some point I want to respond. 
biden_trump_2020,WELKER,"Respond very quickly, and then I'll get to my question. "
biden_trump_2020,BIDEN,"Why do he — He's been saying this for four years. Show us. Just show us. Stop playing around. You've been saying for four years you're going to release your taxes. Nobody knows, Mr. President, they do know is you're not paying your taxes or you're paying taxes that are so low. When last time he said what he paid, he said, 'I only pay that little because I'm smart. I know how to game the system.' Come on, come on, folks. "
biden_trump_2020,WELKER,"Quickly, President Trump, and then I want to get to two questions to both of you. "
biden_trump_2020,TRUMP,"I was put through a phony witch hunt for three years. It started before I even got elected. They spied on my campaign. No president should ever have to go through what I went through. Let me just say this. Mueller and 18 angry Democrats, and FBI agents all over the place spent, $48 million. They went through everything I had, including my tax returns, and they found absolutely no collusion and nothing wrong. $48 million. I guarantee you, if I spent 1 million on you Joe, I could find plenty wrong, because the kind of things that you've done and the kind of monies that your family has taken — I mean, your brother made money in Iraq, millions of dollars. Your other brother made a fortune, and it's all through you, Joe. And they say you get some of it. And you do live very well. You have houses all over the place. You live very well. "
biden_trump_2020,WELKER,"All right, gentlemen, let me just ask some questions about all of this broadly. Vice President Biden, there have been questions about the work your son has done in China, and for Ukrainian energy company when you were Vice President. In retrospect, was anything about those relationships inappropriate or unethical? "
biden_trump_2020,BIDEN,"Nothing was unethical. Here's what the deal. With regard to Ukraine, we had this whole question about whether or not, because he was on the board, I later learned, of Burisma, a company, that somehow I had done something wrong. Yet every single solitary person, when he was going through his impeachment, testifying under oath who worked for him, said I did my job impeccably. I carried out US policy. Not one, single, solitary thing was out of line. Not a single thing, number one. Number two, the guy who got in trouble in Ukraine was this guy, trying to bribe the Ukrainian government to say something negative about me, which they would not do, and did not do, because it never, ever, ever happened. My son has not made money in terms of this thing about — what are you talking about — China. I have not had it. The only guy that made money from China is this guy. He's the only one. Nobody else has made money from China. "
biden_trump_2020,WELKER,Let me ask my question to you. 
biden_trump_2020,TRUMP,Could I just — one thing. 
biden_trump_2020,WELKER,Very quickly. 
biden_trump_2020,TRUMP,"His son didn't have a job for a long time, was sadly no longer in the military service, I won't get into that. And he didn't have a job. As soon as he became vice president, Burisma — not the best, not the best reputation in the world — I hear they paid him 183,000 a month. Listen to this, 183, and they gave him a $3 million upfront payment, and he had no energy experience. That's 100% dishonest. "
biden_trump_2020,WELKER,I'm going to let the vice president respond to that quickly and then I have a question for you. 
biden_trump_2020,BIDEN,"No basis for that. Everybody investigated that, no one said anything he did was wrong in Ukraine. "
biden_trump_2020,WELKER,"OK, President Trump, this is for you. Since you took office, you've never divested from your business. You've personally promoted your properties abroad. A report this week, which was referenced, does indicate that your company has a bank account in China. So how can voters know that you don't have any foreign conflicts of interest? "
biden_trump_2020,TRUMP,"I have many bank accounts and they're all listed and they're all over the place. I mean, I was a businessman doing business. The bank account you're referring to — which is, everybody knows about it, it's listed — the bank account was in 2013. That's what it was. It was opened. It was closed in 2015, I believe, and then I decided, because I was going to do, I was thinking about doing a deal in China, like millions of other people, I was thinking about it. And I decided I'm not going to do it, didn't like it, I decided not to do it, had an account open and I closed it. "
biden_trump_2020,WELKER,OK. 
biden_trump_2020,TRUMP,"Excuse me, and then unlike him, where he's Vice President, and he does business, I then decided to run for president after that. That was before. So I closed it before I even ran for president, let alone became president, big difference. He is the Vice President of the United States, and his son, his brother and his other brother are getting rich, they're like a vacuum cleaner, there's something — "
biden_trump_2020,WELKER,"We do need to move on. I do want to ask you, Vice President Biden, about China. Let's talk about China more broadly. There have, of course, President Trump has said that they should pay for not being fully transparent in regards to the coronavirus. If you were president, would you make China pay and please be specific, what would that look like? "
biden_trump_2020,BIDEN,"What I'd make China do is play by the international rules, not like he has done. He has caused the deficit in China to go up not down — with China, go up not down. We are making sure that in order to do business in China, you have to give all your intellectual property. You have to get/have a partner in China, it is 51%. We would not do that at all, number one. Number two, we're in a situation where China would have to play by the rules internationally as well. When I met with Xi, and when I was still vice president, he said 'we're setting up air identification zones in the South China Sea, you can't fly through them.' I said, 'we're gonna fly through them. We just flew B52/B1 bombers through it. We're not going to pay attention.' They have to play by the rules, and what's he do? He embraces guys like the thugs like in North Korea, and, and, and the Chinese president and Putin and others, and he pokes his finger in the eye of all our friends, all of our allies. We make up only — we' re 25%. 25% of the world's economy. We need to be having the rest of our friends with us, saying to China, these are the rules. You play by them or you're going to pay the price for not paying by them, economically. That's the way I will run it. And that's what we did and upholding steel tariffs and a range of other things when we were president and vice president. "
biden_trump_2020,WELKER,"All right, let's talk about North Korea. "
biden_trump_2020,TRUMP,"Excuse me, no, I have to respond to this. "
biden_trump_2020,WELKER,"OK, very quickly and then we're gonna have... "
biden_trump_2020,TRUMP,His son walked out with a billion and a half dollars from China — 
biden_trump_2020,BIDEN,Not true. 
biden_trump_2020,TRUMP,"— after spending 10 minutes in office and being an Air Force Two, number one. Number two, there's a very strong email, talking about your family wanting to make $10 million a year for introductions. "
biden_trump_2020,BIDEN,That is not true. 
biden_trump_2020,WELKER,"President Trump, on China policy, though. What are you gonna do? What specifically are you going to do to make China pay? "
biden_trump_2020,TRUMP,"First of all, China is paying. They're paying billions and billions of dollars. I just gave $28 billion. "
biden_trump_2020,WELKER,Through sanctions? 
biden_trump_2020,TRUMP,I just gave $28 billion to our farmers. 
biden_trump_2020,BIDEN,Taxpayers money. 
biden_trump_2020,TRUMP,It's what? 
biden_trump_2020,BIDEN,Taxpayers money. 
biden_trump_2020,TRUMP,"No, the taxpayers. It's called China. "
biden_trump_2020,BIDEN,Not true. 
biden_trump_2020,TRUMP,"China pays for $28 billion and you know what they did to pay it, Joe? They devalued their currency and they also paid up, and you know who got the money? Our farmers. Our great farmers, because they would target it. You never charge them anything. Also, I charged them 25% on dumped steel, because they were killing our steel industry. We were not going to have a steel, and now we have a steel industry "
biden_trump_2020,WELKER,"OK, Vice President Biden, your response, please? "
